track_number,title,lyrics
,10.000 Destinos,"1 Contributor
10.000 Destinos Lyrics
[Letra de ""10.000 Destinos""]
[Verso 1]
Há mais de mil destinos em cada esquina
Outras vidas esperando em cada esquina
Há quase mil motivos pra gente ignorar
O que ouve e o que vê em cada esquina
Uma vitrine muito bandeira
Um imã na geladeira
Alça de mira, lente de aumento
Vampiro em frente ao espelho
[Refrão]
Por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Nem aí
[Verso 2]
Gritos na torcida, sinos na catedral
Uma palavra omitida no hino nacional
Tambores, motores, pulso e coração
Um minuto de silêncio antes da explosão
[Refrão]
Por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Finge que não está nem aí
[Ponte Instrumental]
[Refrão]
Então, por que será, me diz, por que será?
Que a gente cruza o rio atrás de água
E diz que não está nem aí
Nem aí
Finge que não está nem aí
Nem aí"
,3ª do Plural,"3 Contributors
3ª do Plural Lyrics
[Letra de ""3ª do Plural""]
[Verso 1]
Corrida pra vender cigarro, cigarro pra vender remédio
Remédio pra curar a tosse, tossir, cuspir, jogar pra fora
Corrida pra vender os carros, pneu, cerveja e gasolina
Cabeça pra usar boné e professar a fé de quem patrocina
[Pré-Refrão]
Eles querem te vender, eles querem te comprar
Querem te matar, a sede, eles querem te sedar
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?
[Verso 2]
Corrida contra o relógio, silicone contra a gravidade
Dedo no gatilho, velocidade, quem mente antes diz a verdade
Satisfação garantida,
obsolescência programada
Eles ganham a corrida antes mesmo da largada
[Pré-Refrão]
Eles querem te vender, eles querem te comprar
Querem te matar de rir, querem te fazer chorar
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?
[Ponte]
Vender, comprar, vedar os olhos
Jogar a rede, contra a parede
Querem te deixar com sede
Não querem te deixar pensar
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?
Quem são eles?"
,3ª do Plural [Acústico MTV],"2 Contributors
3ª do Plural [Acústico MTV] Lyrics
[Letra da versão acústica de ""3ª do Plural""]
[Verso 1]
Corrida pra vender cigarro, cigarro pra vender remédio
Remédio pra curar a tosse, tossir, cuspir, jogar pra fora
Corrida pra vender os carros, pneu, cerveja e gasolina
Cabeça pra usar boné e professar a fé de quem patrocina
[Pré-Refrão]
Eles querem te vender, eles querem te comprar
Querem te matar de rir, querem te fazer chorar
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
[Verso 2]
Corrida contra o relógio, silicone contra a gravidade
Dedo no gatilho, velocidade, quem mente antes diz a verdade
Satisfação garantida, obsolescência programada
Eles ganham a corrida antes mesmo da largada
[Pré-Refrão]
E eles querem te vender, eles querem te comprar
Querem te matar, a sede, eles querem te fazer sedar, me digam
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
[Ponte]
Vender, comprar, vedar os olhos
Jogar a rede contra a parede (Quem são eles?)
Querem nos deixar com sede
Não querem nos deixar pensar
[Refrão]
Quem são eles? Quem eles pensam que são?
Quem são eles? Quem eles pensam que são?
Quem são eles?"
,3 Minutos,"1 Contributor
3 Minutos Lyrics
[Letra de ""3 Minutos""]
[Verso 1]
Se você me der três minutos
Vai entender o que eu sinto
Eu não sou santo, mas não minto
Não vou mentir se você me der três minutos
Se você me der uma chance
Não vou deixar que a gente dance
Esqueça o que pensa que sabe
Duvide da crença e quem sabe?
Vai sentir o que eu sinto
Se você me der três minutos
[Refrão]
Só acredito no que pode ser dito em três minutos
Por isso eu grito, só te peço três minutos
[Verso 2]
No caos me sinto à vontade
A tempestade é meu elemento
No pampa, o vento, violino minuano
Na fria janela de um apartamento
À espera do salto, perigo, suspense
No alto inverno porto-alegrense
À espera do salto, perigo, suspense, yeah
[Refrão]
Só acredito no que pode ser dito em três minutos
Eu grito e repito, só te peço três minutos
[Solo de Guitarra]
[Refrão]
Só acredito no que pode ser dito em três minutos
Eu grito e repito, só te peço três minutos
Só acredito no que pode ser dito em três minutos
Por isso eu peço aos quatro ventos, três minutos"
,3x4,"3 Contributors
3x4 Lyrics
[Letra de ""3x4""]
[Verso 1]
Diga a verdade ao menos uma vez na vida
Você se apaixonou pelos meus erros
Não fique pela metade, vá em frente, minha amiga
Destrua a razão deste beco sem saída
Diga a verdade, ponha o dedo na ferida
Você se apaixonou pelos meus erros
E eu perdi as chaves, mas que cabeça a minha
Agora vai ter que ser para toda a vida
[Refrão]
Somos o que há de melhor
Somos o que dá pra fazer
O que não dá pra evitar
E não se pode escolher
[Verso 2]
Se eu tivesse a força que você pensa que eu tenho
Eu gravaria no metal da minha pele o teu desenho
Feitos um pro outro, feitos pra durar
Uma luz que não produz sombra
[Refrão]
O que não dá pra evitar
E não se pode escolher
Somos o que há de melhor
Somos o que dá pra fazer
O que não dá pra evitar
E não se pode escolher"
,3x4 [Acústico MTV],"1 Contributor
3x4 [Acústico MTV] Lyrics
[Letra da versão acústica de ""3x4""]
[Verso 1]
Diga a verdade ao menos uma vez na vida
Você se apaixonou pelos meus erros
Não fique pela metade, vá em frente, minha amiga
Destrua a razão desse beco sem saída
Diga a verdade, ponha o dedo na ferida
Você se apaixonou pelos meus erros
E eu perdi as chaves, mas que cabeça a minha
Agora vai ter que ser para toda a vida
[Refrão]
Somos o que há de melhor
Somos o que dá pra fazer
O que não dá pra evitar
E não se pode escolher
[Verso 2]
Se eu tivesse a força que você pensa que eu tenho
Eu gravaria no metal da minha pele o teu desenho
Feitos um pro outro, feitos pra durar
Uma luz que não produz sombra
[Refrão]
Somos o que há de melhor
Somos o que há pra fazer
O que não dá pra evitar
E não se pode escolher"
,A Conquista do Espaço,"3 Contributors
A Conquista do Espaço Lyrics
Concluindo a trilogia, “A Conquista do Espaço” termina o álbum de uma forma mais otimista, mostrando que a evolução e a industrialização também podem servir para a população.

A música ainda termina…
Read More
[Letra de ""A Conquista do Espaço""]
[Intro]
Cinco, quatro, três, dois, um
[Verso 1]
Costas quentes (Sempre em frente)
Frente fria (Sempre em frente)
Sangue quente (Sempre em frente)
Demente sangria (Sempre, sempre, sempre, sempre)
Passo à passo à eternidade
Um passo em falso, a cara no chão
Um grande passo pra humanidade
Um pequeno veneno pra cada um de nós
[Refrão]
Lá do alto deve ser bonito
Aqui de cima é muito legal
No asfalto, meus tênis derretem
Aqui em cima
nem frio nem calor
[Verso 2]
Bola nas costas (Sempre em frente)
Atrás vem gente (Sempre em frente)
Sempre alerta (Sangue frio)
Sempre em frente (Sempre, sempre)
Passo à passo, Pégasus, pegadas
Pelo espaço a conquistar
Bola de neve morro abaixo
Sempre em frente, pra cima, pro alto
[Refrão]
Lá do alto deve ser esquisito
Aqui de cima até que é normal
Minha cabeça pesa quase dois séculos
Meu corpo flutua, peso nenhum
[Ponte]
Cara à cara, a conquista do espelho
Passo à passo, a conquista do espaço
Cara à cara, a conquista do espelho
Passo à passo, a conquista do espaço
[Refrão]
Lá do alto deve ser bonito (Deve ser bonito)
Aqui de cima até que é normal
Minha cabeça presa entre dois mundos
Meu corpo flutua, mundo nenhum
[Saída]
A mídia, a mediocracia
Muito Zorro e nenhum Sargento Garcia
Francamente (Francamente)
Há muito já não somos como já fomos
Todos iguais
Iguais aos poucos que ainda andam
Iguais a tantos que andam loucos
Iguais a loucos que ainda andam
Iguais a santos que andam loucos de satisfação
Ouvindo pampa no walkman (Descubro um passado que não me pertence)
Ouvindo pampa no walkman (Third world music, mito e nonsense)
Ouvindo pampa no walkman (Pertenço a um país que não me pertence)
Ouvindo pampa no walkman (Não sou gaúcho, sou porto-alegrense)
Francamente"
,A Conquista do Espelho,"1 Contributor
A Conquista do Espelho Lyrics
A primeira música de uma trilogia dentro do disco, “A Conquista do Espelho” fala sobre um relacionamento que não deu certo mesmo depois de tantas tentativas. Ao que tudo indica, uma traição ocorreu, mesmo que…
Read More
[Letra de ""A Conquista do Espelho""]
[Verso 1]
Eu roubei esses versos como quem rouba pão
Com a mão urgente, com urgência no coração
Eu contei histórias, inventei vitórias
Como quem tem preguiça, como quem faz justiça com as próprias mãos
Eu roubei quase tudo que eu tenho só pra chamar tua atenção
E, quando cheguei em casa, vi que lá morava um ladrão
Eu perdi quase tudo que eu tinha
A paz, a paciência, a urgência que me levava pela mão
[Verso 2]
Uma noite interminável numa cela escura
Sentido, senhores, censores sem poder de censura
O ruído dos motores numa sala de torturas
Senhoras e senhores, censores sem talento sensorial
Nunca mais saiu da minha boca o gosto amargo da palavra traição
Nunca mais saiu da minha boca nenhum elogio a nenhuma paixão
Uma noite mal dormida, um país em maus lençóis
Sem sono, sem censura, 100% de nada, não é nada é muito pouco
Uau
[Solo de Guitarra]
[Saída]
Sem sono, sem censura, 100% de nada (De nada) não é nada, é muito"
,A Fábula,"1 Contributor
A Fábula Lyrics
Engenheiros Do Hawaii
Miscellaneous
A Fábula
Era uma vez um planeta mecânico
Lógico, onde ninguem tinha dúvidas
Havia nome pra tudo e para tudo uma explicação
Até o por-do-sol sobre o mar era um gráfico
Adivinhar o futuro não era coisa de mágico
Era um hábito burocrático, sempre igual
Explicar emoções não era coisa ridíicula
Havia críticos e métodos práticos
Cá pra nos, tudo era muito chato
Era tudo tão sensato, difícil de aguentar
Todos nos sabiamos de cor
Como tudo começou e como iria terminar
Mas de uma hora pra outra
Tudo o que era tão sólido desabou, no final de um século
Raios de sol na madrugada de um sábado radical
Foi a pá de cal, tão legal
Não sei mais de onde foi que eu vim
Por que é que estou aqui, para onde eu irei
Cá pra nos, é bem melhor assim
Desconhecer o início e ignorar o fim
Da fábula"
,A Ilha Não Se Curva,"1 Contributor
A Ilha Não Se Curva Lyrics
[Letra de ""A Ilha Não Se Curva""]
[Verso 1]
Presente em tudo que eu faço
Em qualquer hora e lugar
Em toda esquina em cada passo
Profana luz a me guiar
[Refrão]
Vida afora, noite adentro
Vida afora, noite adentro
[Verso 2]
Impressa em cada gesto meu
Brilha a luz no fim do túnel
Cores capazes de cegar
Quem tem medo de entregar-se
[Refrão]
Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro
[Verso 3]
Inimigos na trincheira
Guantanamera militar
E a ilha não se curva
Às águas turvas desse mar
[Refrão]
Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro
Vida afora, noite adentro"
